NAME,MAKE,MODEL,YEAR,TYPE,COLOR,INTCOLOR,MILES,PRICE
2023 Kawasaki ninja trade,-1,-1,2023,-1,-1,-1,2700,1234
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,3000,4000
2007 Kawasaki ninja,-1,-1,2007,-1,-1,-1,11000,3600
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,4000,4500
2017 Kawasaki ninja 300 abs krt edition,-1,-1,2017,-1,-1,-1,11000,3600
2011 Kawasaki ninja,-1,-1,2011,-1,-1,-1,10000,2700
2021 Kawasaki ninja,-1,-1,2021,-1,-1,-1,3000,3500
2015 Kawasaki,-1,-1,2015,-1,-1,-1,1900,3500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,3500,3400
2010 Kawasaki ninja,-1,-1,2010,-1,-1,-1,12000,1000
2003 Kawasaki ninja,-1,-1,2003,-1,-1,-1,10000,1000
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,441,5000
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,7500,3800
2014 Kawasaki ninja 300abs,-1,-1,2014,-1,-1,-1,14000,3500
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,18000,3600
2021 Kawasaki ninja replica,-1,-1,2021,-1,-1,-1,1500,1800
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,600,5400
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,14000,3999
-,kawasaki ninja 300,"Washington, DC",74694,-,-,-,-,-
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,18000,3600
2007 Kawasaki ninja,-1,-1,2007,-1,-1,-1,300,1200
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,7600,3200
2012 Kawasaki ninja,-1,-1,2012,-1,-1,-1,18000,4000
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,29000,1200
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,8800,6500
2020 Kawasaki ninja,-1,-1,2020,-1,-1,-1,300,5000
2014 Kawasaki ninja 300abs,-1,-1,2014,-1,-1,-1,14000,3500
2012 Kawasaki 600r,-1,-1,2012,-1,-1,-1,10000,2500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,19000,6200
2018 Kawasaki 2018 ninja 400,-1,-1,2018,-1,-1,-1,2900,5175
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,14000,3999
2018 Kawasaki ninja,-1,-1,2018,-1,-1,-1,8000,5500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,3000,3400
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,33000,2000
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,15000,2900
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,11000,3200
2009 Kawasaki ninja,-1,-1,2009,-1,-1,-1,13000,2500
2022 Kawasaki xpro x24,-1,-1,2022,-1,-1,-1,600,2800
2011 Kawasaki ninja,-1,-1,2011,-1,-1,-1,20000,1820
2021 Kawasaki ninja 400 abs,-1,-1,2021,-1,-1,-1,1000,4500
-,kawasaki ninja 300,"Richmond, VA",89197,-,-,-,-,-
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,18000,3600
2023 Kawasaki ninja 400 abs,-1,-1,2023,-1,-1,-1,4100,5500
2009 Kawasaki ninja,-1,-1,2009,-1,-1,-1,16000,2600
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,14000,3000
2007 Kawasaki ninja,-1,-1,2007,-1,-1,-1,300,1200
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,2700,2500
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,8000,4500
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,8800,6500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,12000,2500
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,12000,2500
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,33000,2000
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,7600,3200
2023 Kawasaki ninja 400 krt edition,-1,-1,2023,-1,-1,-1,12000,4500
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,-1,5500
2018 Kawasaki ninja 400 krt abs,-1,-1,2018,-1,-1,-1,7700,4000
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,14000,3999
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,15000,7900
2016 Kawasaki ninja 300 se,-1,-1,2016,-1,-1,-1,5000,2499
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,19000,6200
2012 Kawasaki ninja 650 r,-1,-1,2012,-1,-1,-1,10000,3000
2012 Kawasaki ninja,-1,-1,2012,-1,-1,-1,-1,3999
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,5000,8000
-,kawasaki ninja 300,"Virginia Beach, VA",91683,-,-,-,-,-
2023 Kawasaki ninja 400 krt edition,-1,-1,2023,-1,-1,-1,12000,4500
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,12000,2500
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,8000,4500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,12000,2500
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,18000,3600
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,5000,8000
2018 Kawasaki ninja,-1,-1,2018,-1,-1,-1,6000,4500
2010 Kawasaki ninja,-1,-1,2010,-1,-1,-1,5800,3700
2007 Kawasaki ninja,-1,-1,2007,-1,-1,-1,300,1200
2017 Kawasaki ninja,-1,-1,2017,-1,-1,-1,14000,3000
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,40000,1234
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,3900,6750
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,8800,6500
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,16000,4500
2012 Kawasaki ninja,-1,-1,2012,-1,-1,-1,2700,4500
2008 Kawasaki ninja,-1,-1,2008,-1,-1,-1,33000,2000
2023 Kawasaki ninja 400 abs,-1,-1,2023,-1,-1,-1,4100,5500
2022 Kawasaki z,-1,-1,2022,-1,-1,-1,300,3000
2015 Kawasaki ninja,-1,-1,2015,-1,-1,-1,7600,3200
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,14000,3999
2014 Kawasaki ninja,-1,-1,2014,-1,-1,-1,21000,4000
2016 Kawasaki ninja,-1,-1,2016,-1,-1,-1,8000,4500
2018 Kawasaki ninja 400 krt abs,-1,-1,2018,-1,-1,-1,7700,4000
-,kawasaki ninja 300,"Jacksonville, FL",82710,-,-,-,-,-
2020 Kawasaki ninja 400,-1,-1,2020,-1,-1,-1,8300,4800
2001 Kawasaki ninja,-1,-1,2001,-1,-1,-1,2000,3500
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,6000,5199
2013 Kawasaki 300cc,-1,-1,2013,-1,-1,-1,8300,3950
2011 Kawasaki ninja,-1,-1,2011,-1,-1,-1,11000,2000
2009 Kawasaki ninja,-1,-1,2009,-1,-1,-1,26000,1000
2013 Kawasaki ninja,-1,-1,2013,-1,-1,-1,11000,3200
2023 Kawasaki ninja,-1,-1,2023,-1,-1,-1,415,5500
2019 Kawasaki ninja,-1,-1,2019,-1,-1,-1,9500,5500
2010 Kawasaki ninja,-1,-1,2010,-1,-1,-1,2500,2200
2022 Kawasaki ninja,-1,-1,2022,-1,-1,-1,19000,5699
