NAME,YEAR,PRICE,MILES
-,kawasaki ninja 300,"Washington, DC",3385.62
2008 Kawasaki ninja,2008,1800,4200
2016 Kawasaki ex300,2016,2500,3200
2014 Kawasaki ninja,2014,3800,3400
2023 Kawasaki ninja,2023,6500,8800
2022 Kawasaki xpro x24,2022,2800,600
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2013 Kawasaki 300 ex abs,2013,2800,9200
2016 Kawasaki ex300,2016,3600,8300
2012 Kawasaki ninja,2012,1800,500
2016 Kawasaki ninja 300,2016,2500,2500
2018 Kawasaki ninja,2018,5500,800
2019 Kawasaki ninja 650ex,2019,3000,1100
2008 Kawasaki ninja,2008,2500,3300
2020 Kawasaki ninja 400 abs,2020,4500,3500
2012 Kawasaki ninja,2012,2500,2700
2006 Kawasaki 250 ninja,2006,2000,4800
2016 Kawasaki ex,2016,3500,8500
2017 Kawasaki ninja,2017,4299,1000
2005 Kawasaki ninja,2005,2000,2100
2023 Kawasaki ninja,2023,5700,300
2017 Kawasaki ninja,2017,3500,7900
-,kawasaki ninja 300,"Richmond, VA",2876.14
2016 Kawasaki ninja 300,2016,2500,2500
2023 Kawasaki ninja,2023,6500,8800
2006 Kawasaki 250 ninja,2006,2000,4800
2008 Kawasaki ninja,2008,2500,3300
2017 Kawasaki ninja,2017,3000,1400
2005 Kawasaki ninja,2005,4000,4200
2012 Kawasaki ninja,2012,1800,500
2016 Kawasaki ninja 300 abs,2016,3500,8500
2010 Kawasaki kx,2010,2000,11100
2000 Kawasaki ninja,2000,1500,12300
2014 Kawasaki ninja,2014,3800,3400
2008 Kawasaki ninja,2008,1800,4200
2009 Kawasaki ninja,2009,3250,5500
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2023 Kawasaki ninja,2023,5500,-1
2012 Kawasaki,2012,1000,1200
2007 Kawasaki ninja 500r,2007,1200,1900
1992 Kawasaki ninja,1992,2000,1600
2013 Kawasaki 300 ex abs,2013,2800,9200
1995 Kawasaki ninja,1995,750,1200
2012 Kawasaki ninja,2012,5000,1200
-,kawasaki ninja 300,"Virginia Beach, VA",3079.5
2016 Kawasaki ninja 300 abs,2016,3500,8500
2023 Kawasaki ninja 400 krt edition,2023,4500,1200
2018 Kawasaki ninja,2018,4200,5800
2023 Kawasaki ninja,2023,6500,8800
2023 Kawasaki ninja,2023,5000,4200
2012 Kawasaki,2012,1000,1200
2016 Kawasaki ninja 300,2016,2500,2500
2012 Kawasaki ninja,2012,1800,500
2009 Kawasaki ninja,2009,3200,1200
2022 Kawasaki z,2022,3000,300
2001 Kawasaki ninja,2001,900,4500
2008 Kawasaki ninja,2008,2500,3300
2020 Kawasaki ninja ex400 glf abs,2020,3999,675
2022 Kawasaki xpro x24,2022,2800,600
2014 Kawasaki ninja,2014,3800,3400
